tt0024335	short	The Midnight Patrol	The Midnight Patrol	0	1933	\N	20	Comedy,Short
tt0024509	short	Rufus Jones for President	Rufus Jones for President	0	1933	\N	21	Comedy,Musical,Short
tt0024516	movie	Sagebrush Trail	Sagebrush Trail	0	1933	\N	54	Action,Drama,Romance
tt0024628	movie	Sucker Money	Sucker Money	0	1933	\N	59	Crime,Drama,Romance
tt0024668	movie	Thunder Over Mexico	Thunder Over Mexico	0	1933	\N	70	Drama,History
tt0024831	movie	Anne of Green Gables	Anne of Green Gables	0	1934	\N	78	Comedy,Drama,Family
tt0025040	movie	The Defense Rests	The Defense Rests	0	1934	\N	70	Adventure,Crime,Drama
tt0025132	movie	Forsaking All Others	Forsaking All Others	0	1934	\N	83	Comedy,Drama,Romance
tt0025173	movie	The Girl from Missouri	The Girl from Missouri	0	1934	\N	75	Comedy,Drama,Romance
tt0025260	short	Holiday Land	Holiday Land	0	1934	\N	8	Animation,Family,Fantasy
tt0025274	short	How Do I Know It's Sunday	How Do I Know It's Sunday	0	1934	\N	8	Animation,Comedy,Family
tt0025349	movie	King Kelly of the U.S.A.	King Kelly of the U.S.A.	0	1934	\N	66	Comedy,Musical,Romance
tt0025397	movie	Liliom	Liliom	0	1934	\N	118	Drama,Fantasy
tt0025405	short	Little Dutch Mill	Little Dutch Mill	0	1934	\N	9	Animation,Musical,Short
tt0025440	movie	The Lucky Texan	The Lucky Texan	0	1934	\N	55	Action,Adventure,Romance
tt0025514	movie	Monte Carlo Nights	Monte Carlo Nights	0	1934	\N	62	Adventure,Mystery,Romance
tt0025520	movie	Moulin Rouge	Moulin Rouge	0	1934	\N	70	Comedy,Musical
tt0025556	movie	Napoléon Bonaparte	Napoléon Bonaparte	0	1935	\N	140	Biography,Drama
tt0025589	short	The Old Pioneer	The Old Pioneer	0	1934	\N	8	Animation,Family,Short
tt0025716	short	Rhythm in Light	Rhythm in Light	0	1935	\N	5	Short
tt0025770	short	Shake Your Powder Puff	Shake Your Powder Puff	0	1934	\N	6	Animation,Comedy,Family
tt0025942	movie	Fair of the Dove	La verbena de la Paloma	0	1935	\N	78	Musical
tt0026015	movie	You Can't Buy Everything	You Can't Buy Everything	0	1934	\N	82	Drama,Romance
tt0026211	movie	The Church Mouse	The Church Mouse	0	1934	\N	76	Comedy,Romance
tt0026302	short	The E-Flat Man	The E-Flat Man	0	1935	\N	20	Comedy,Short
tt0026325	movie	Every Night at Eight	Every Night at Eight	0	1935	\N	80	Comedy,Musical,Romance
tt0026333	movie	False Pretenses	False Pretenses	0	1935	\N	68	Comedy,Romance
tt0026413	movie	The Girl from 10th Avenue	The Girl from 10th Avenue	0	1935	\N	69	Drama
tt0026457	short	Hayseed Romance	Hayseed Romance	0	1935	\N	19	Comedy,Romance,Short
tt0026491	movie	Hooray for Love	Hooray for Love	0	1935	\N	72	Comedy,Musical
tt0026524	movie	In Old Kentucky	In Old Kentucky	0	1935	\N	86	Comedy
tt0026706	short	Mickey's Fire Brigade	Mickey's Fire Brigade	0	1935	\N	8	Animation,Comedy,Family
tt0026739	movie	The Murder Man	The Murder Man	0	1935	\N	69	Crime,Drama,Mystery
tt0026914	movie	Reckless	Reckless	0	1935	\N	97	Comedy,Drama,Musical
tt0027001	short	Simple Simon	Simple Simon	0	1935	\N	6	Animation,Short
tt0027057	movie	Suicide Squad	Suicide Squad	0	1935	\N	58	Action,Drama,Romance
tt0027100	short	Three Orphan Kittens	Three Orphan Kittens	0	1935	\N	9	Animation,Comedy,Family
tt0027111	short	The Timid Young Man	The Timid Young Man	0	1935	\N	20	Comedy,Short
tt0027163	movie	The Girl in the Rumour	Uwasa no musume	0	1935	\N	54	
tt0027276	movie	Hokum	Allotria	0	1936	\N	94	Comedy
tt0027396	movie	Brides Are Like That	Brides Are Like That	0	1936	\N	67	Comedy,Romance
tt0027432	short	The Cat Came Back	The Cat Came Back	0	1936	\N	8	Animation,Comedy,Family
tt0027490	short	Dada	Dada	0	1936	\N	3	Short
tt0027502	movie	Darkest Africa	Darkest Africa	0	1936	\N	269	Action,Adventure,Comedy
tt0027664	movie	The General Died at Dawn	The General Died at Dawn	0	1936	\N	98	Adventure,Crime,Film-Noir
tt0027690	movie	The Gorgeous Hussy	The Gorgeous Hussy	0	1936	\N	103	Drama,History
tt0027722	short	Hawaiian Birds	Hawaiian Birds	0	1936	\N	8	Animation,Comedy,Musical
tt0027925	movie	Street of Shadows	Mademoiselle Docteur	0	1937	\N	116	Drama,Romance,Thriller
tt0028126	short	Porky's Pet	Porky's Pet	0	1936	\N	7	Animation,Comedy,Family
tt0028227	movie	Sea Spoilers	Sea Spoilers	0	1936	\N	63	Drama,Mystery,Romance
tt0028237	movie	Seven Brave Men	Semero smelykh	0	1936	\N	92	Action,Drama
tt0028243	movie	The Shadow	The Shadow	0	1933	\N	74	Mystery
tt0028372	movie	The Three Mesquiteers	The Three Mesquiteers	0	1936	\N	61	Action,Adventure,Drama
tt0028401	movie	The Trail of the Lonesome Pine	The Trail of the Lonesome Pine	0	1936	\N	102	Adventure,Drama,Romance
tt0028480	short	Wanted -- A Master	Wanted -- A Master	0	1936	\N	10	Short
tt0028526	short	You're Not Built That Way	You're Not Built That Way	0	1936	\N	7	Animation,Comedy,Family
tt0028663	movie	Dangerous Secrets	Brief Ecstasy	0	1937	\N	72	Drama,Romance
tt0028665	movie	Broadway Melody of 1938	Broadway Melody of 1938	0	1937	\N	110	Musical,Romance
tt0028758	movie	Dance Charlie Dance	Dance Charlie Dance	0	1937	\N	64	Comedy
tt0029043	movie	I'll Take Romance	I'll Take Romance	0	1937	\N	90	Music,Romance
tt0029066	movie	Jim Hanvey, Detective	Jim Hanvey, Detective	0	1937	\N	71	Mystery
tt0029081	movie	King Solomon's Mines	King Solomon's Mines	0	1937	\N	77	Action,Adventure,Drama
tt0029109	movie	Land Beyond the Law	Land Beyond the Law	0	1937	\N	54	Adventure,Music,Romance
tt0029209	movie	Manhattan Merry-Go-Round	Manhattan Merry-Go-Round	0	1937	\N	89	Comedy,Music
tt0029318	movie	Nobody's Baby	Nobody's Baby	0	1937	\N	68	Comedy,Musical
tt0029343	movie	On Again-Off Again	On Again-Off Again	0	1937	\N	68	Comedy,Musical
tt0029381	short	Parábola	Parábola	0	1937	\N	9	Short
