tt1206584	7.3	99
tt0803660	7.2	99
tt9428488	5.9	99
tt0071022	7.3	99
tt0195341	5.5	99
tt9238580	7.7	99
tt0127390	8.1	99
tt1502470	7.6	99
tt0083573	4.8	99
tt6314294	7.6	99
tt0053225	6.8	99
tt0110387	7.2	99
tt0656291	8.2	99
tt7390042	9.3	99
tt0182914	7	99
tt6980696	9.2	99
tt6338084	7.5	99
tt0085625	3.2	99
tt0454613	6.9	99
tt0781303	8	99
tt0874539	7.8	99
tt0028372	6.8	99
tt2419530	7.6	99
tt0893497	6.7	99
tt0055898	5.9	99
tt4080210	7.6	99
tt4685996	7	99
tt0289120	7.1	99
tt0890806	7.5	99
tt1106606	6.8	99
tt1229467	8.1	99
tt0080264	7.3	99
tt1332066	4.4	99
tt1703147	4.3	99
tt0502002	7.9	99
tt3612246	4.8	99
tt0346959	8.1	99
tt0220296	6.6	99
tt6168322	6.9	99
tt0490858	7.1	99
tt3228982	8.6	99
tt5886828	7.5	99
tt0409723	5.2	99
tt5969604	9.3	99
tt2839328	7.1	99
tt0514534	7.2	99
tt0077886	5.6	99
tt0962466	7.8	99
tt0055675	8.2	99
tt5533814	8.3	99
tt0114912	5.9	99
tt4541266	5.9	99
tt3646512	7.7	99
tt1654424	8.1	99
tt3953592	7.4	99
tt8757052	7.2	99
tt0189264	7.5	99
tt3899678	7.3	99
tt3908640	8.3	99
tt5216060	8	99
tt0609072	7.5	99
tt1628085	7.3	99
tt7877276	4.6	99
tt4226868	8.1	99
tt0086467	7.4	99
tt4229078	5.3	99
tt0569406	7.4	99
tt6765658	8.6	99
tt1130440	6.5	99
tt3907618	8.1	99
tt3234528	7	99
tt7539190	6.5	99
tt0567042	8.3	99
tt4165920	5.7	99
tt0604645	8.6	99
tt2582624	4.6	99
tt0159726	6.3	99
tt0922760	9	99
tt5833412	5.6	99
tt0128694	6.8	99
tt2795510	7.8	99
tt1135717	8.2	99
tt0055449	6.5	99
tt1616039	8.9	99
tt5169698	7.8	99
tt0749702	8	99
tt5988750	7.6	99
tt0512489	6.8	99
tt2583538	6.8	99
tt0814759	5.3	99
tt9078960	4.8	99
tt0454994	6.5	99
tt3907330	6.3	99
tt2560168	7.8	99
tt0127894	7.1	99
tt1984977	7.8	99
tt0472202	7	99
tt8355542	8.2	99
tt0422607	6.5	99
tt10351848	8.5	99
tt0948745	6	99
tt0690480	3.5	99
tt2192933	7.6	99
tt1380817	8.3	99
tt4786550	7.5	99
tt4198246	7.7	99
tt0301196	7.4	99
tt0287795	3.7	99
tt0567191	8.2	99
tt0844061	7.6	99
tt1912965	7.6	99
tt0566938	8.1	99
tt0359111	6	99
tt6029366	4.2	99
tt0821358	8.1	99
tt0343010	6	99
tt9154318	7.3	99
tt0866431	6.3	99
tt0768870	8.2	99
tt9729206	6.1	99
tt1748159	6.5	99
tt0105678	4.3	99
tt0769912	7.6	99
tt0081151	7.5	99
tt1618483	7.1	99
tt0096698	7.4	99
tt0080501	4.3	99
tt0298485	7	99
tt2570020	6.5	99
tt0769915	6.5	99
tt1825892	5.7	99
tt7925418	8.6	99
tt0089980	6	99
tt0268416	7.1	99
tt0983244	4.3	99
tt2578832	5.5	99
tt2070685	7.3	99
tt7279868	6.1	99
tt0061878	5.8	99
tt0462442	7.6	99
tt0126620	4.3	99
tt1563458	7	99
tt2084920	6.5	99
tt0225634	6.6	99
tt0273622	6.8	99
tt0604646	8.3	99
tt0303793	8.1	99
tt5084256	7.4	99
tt8354600	8	99
tt0013127	6.4	99
tt0580205	7.5	99
tt0707081	7.9	99
tt0049216	5	99
tt6739256	6.3	99
tt0497959	7.9	99
tt0872855	7.9	99
tt0437466	7.8	99
tt2277545	7.2	99
tt1414823	4.8	99
tt0237589	8.5	99
tt1540262	7	99
tt0027722	6	99
tt0804120	5.1	99
tt0074722	6.9	99
tt0063433	6.4	99
tt9661142	8.4	99
tt0095954	8.3	99
tt0406535	5	99
tt6675706	6.8	99
tt1965094	1.1	99
tt1227736	7.7	99
tt0107149	4.8	99
tt3296930	6.6	99
tt0095598	7	99
tt9322904	5.8	99
tt0512312	6.6	99
tt0403764	8.6	99
tt5347666	9.2	99
tt0338722	6.1	99
tt0040855	6.2	99
tt0049804	5.6	99
tt0233828	7.8	99
